sene;ocak;şubat;mart;nisan;mayıs;haziran;temmuz;ağustos;eylül;ekim;kasim;aralik;toplam
1998;190609;235746;388471;303934;335736;382720;545308;329928;440572;363460;326292;268038;5322282
1999;110456;123745;250259;214096;247805;302456;543475;408306;298470;373248;302892;238062;3506169
2000;127684;179878;263648;375642;548621;528746;968357;973450;864958;866988;275861;185346;619179
2001;137632;179862;263695;528423;770091;838106;1184123;1114344;1073764;906988;337963;249639;6647572
2002;112879;177986;348083;477876;832794;892012;1184123;1114344;1073764;906988;337963;249639;7708451
2003;163918;219347;224085;346519;656135;857405;1264731;1296884;1044230;999935;393308;271598;7738095
2004;222039;268330;351193;595525;1033767;1029930;1551350;1409709;1189103;1151846;470718;321409;7533226
2005;281040;304183;547614;672885;1329904;1246264;1833206;1537952;1300296;1277094;420712;315958;11067108
2006;259059;245255;401040;725486;996051;1259493;1835047;1595580;1206713;1011719;397837;387281;10320561
2007;267837;325551;473617;753599;1151946;1436087;2082024;1740209;1418938;1197541;484508;398565;11730422
2008;412123;493022;760397;1002157;1625202;1951278;2621500;2265268;1834637;1561145;675046;597189;15798964
2009;403496;505454;665896;1132531;1639042;1944905;2851636;2279116;1923694;1669779;743994;670906;16430449
2010;397906;478770;725543;1017659;1846864;1984910;2659464;2285905;2035336;1844205;776571;569083;16622216
2011;435733;546510;808076;1426662;1870994;2132028;2780771;2504708;2264530;1974970;858977;591483;18195442
2012;423747;502271;778930;1340221;1827366;2195477;2822329;2615653;2302076;1970453;834513;617068;18230104
2013;455351;599121;831209;1525508;1991255;2166892;2977708;2872297;2362863;2095123;853791;712337;19443455
2014;455351;599121;831209;1525508;1991255;2166892;2977708;2872297;2362863;2095123;853791;712337;19443455
